Candidato - nome de urna;SG_PARTIDO;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_DECLARAR_BENS
CARLÚCIO GONÇALVES;SOLIDARIEDADE;BRASILEIRA NATA;67;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
CARMINHA DA SAUDE;PMN;BRASILEIRA NATA;61;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
CAROL BARCELOS;REPUBLICANOS;BRASILEIRA NATA;32;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;N
CAROL BRACHO;PODE;BRASILEIRA NATA;31;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CAROL RAMOS;PSDB;BRASILEIRA NATA;32;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;N
CAROLINA GONCALVES;DC;BRASILEIRA NATA;20;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
CARTER MORATTO;PDT;BRASILEIRA NATA;40;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;S
CASÃO V8 ARAXIDE;PSC;BRASILEIRA NATA;62;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;S
CASSIA HELENA;PC do B;BRASILEIRA NATA;59;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
CATATAU DO POVO;PSD;BRASILEIRA NATA;59;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CATIA SILENE;PL;BRASILEIRA NATA;52;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PRETA;S
CELESTE;REDE;BRASILEIRA NATA;68;FEMININO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);PARDA;S
CELINHO;PSOL;BRASILEIRA NATA;37;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;S
CÉLIO ELIAS;PCO;BRASILEIRA NATA;55;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
CELSÃO;SOLIDARIEDADE;BRASILEIRA NATA;53;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;S
CELSO DE DEUS;PDT;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;S
CÉSAR GORDIN;PROS;BRASILEIRA NATA;37;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CÉSAR SALES;PP;BRASILEIRA NATA;57;MASCULINO;ENSINO MÉDIO COMPLETO;VIÚVO(A);PARDA;S
CHARLES AUGUSTO;PP;BRASILEIRA NATA;40;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
CHARLES BRASILEIRO ;PDT;BRASILEIRA NATA;32;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
CHEILA DO BOM JESUS;DEM;BRASILEIRA NATA;39;FEMININO;LÊ E ESCREVE;SOLTEIRO(A);SEM INFORMAÇÃO;S
CHERO;PROS;BRASILEIRA NATA;53;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
CHEVREUX DIAS;PMN;BRASILEIRA NATA;73;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
CICERA DA UPA;PMN;BRASILEIRA NATA;69;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;S
CICERO RAMOS;DC;BRASILEIRA NATA;70;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
CIDA;PC do B;BRASILEIRA NATA;35;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;N
CIDA ALVES;PC do B;BRASILEIRA NATA;48;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PARDA;S
CIDA DO BAR;DEM;BRASILEIRA NATA;57;FEMININO;LÊ E ESCREVE;CASADO(A);BRANCA;S
CIDA FALABELLA;PSOL;BRASILEIRA NATA;60;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
CIDA FEIRA MIX;MDB;BRASILEIRA NATA;59;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CIDINHA CAMPOS;PSC;BRASILEIRA NATA;57;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;N
CINARA CUNHA;PODE;BRASILEIRA NATA;52;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
CINARA DO QUEIJO;PP;BRASILEIRA NATA;45;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
CINTIA;PV;BRASILEIRA NATA;36;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
CINTIA COSTA;PRTB;BRASILEIRA NATA;39;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
CÍNTIA DA VAN;PROS;BRASILEIRA NATA;35;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CÍNTIA MORENO;PP;BRASILEIRA NATA;42;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;DIVORCIADO(A);PARDA;S
CINTIA VIEIRA;PATRIOTA;BRASILEIRA NATA;36;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
CIRO PEREIRA;PTB;BRASILEIRA NATA;29;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
CLÁUDIA ALVES;NOVO;BRASILEIRA NATA;38;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
CLAUDIA FILHA DO JOÃO;PMN;BRASILEIRA NATA;48;FEMININO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;S
CLAUDIANO MANSUR;DEM;BRASILEIRA NATA;61;MASCULINO;LÊ E ESCREVE;CASADO(A);SEM INFORMAÇÃO;S
CLAUDINEI ROCHA;REPUBLICANOS;BRASILEIRA NATA;49;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
CLAUDIO  COSTA;PRTB;BRASILEIRA NATA;48;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
CLAUDIO CALOQUINHA;PMN;BRASILEIRA NATA;39;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;S
CLAUDIO CARDOSO;PMN;BRASILEIRA NATA;46;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CLÁUDIO DO  MUNDO NOVO;PSD;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
CLÁUDIO DO PV;PV;BRASILEIRA NATA;58;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
CLÁUDIO OLIVEIRA;SOLIDARIEDADE;BRASILEIRA NATA;39;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
CLÁUDIO RAULSEIXISTA;PSDB;BRASILEIRA NATA;63;MASCULINO;LÊ E ESCREVE;CASADO(A);PARDA;S
CLAUDIONOR CRUZ;DEM;BRASILEIRA NATA;66;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
CLAYSSON RODOVIÁRIO;PSDB;BRASILEIRA NATA;45;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
CLAYTON BERTOLDO;REDE;BRASILEIRA NATA;42;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
CLEBER HOT DOG;PT;BRASILEIRA NATA;45;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
CLECIO DORNELAS;PT;BRASILEIRA NATA;44;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
CLEIBER PEREIRA;PODE;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
CLEITON XAVIER;PMN;BRASILEIRA NATA;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
CLÉLIO ALVES;REDE;BRASILEIRA NATA;56;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);AMARELA;S
CLEMILDA ROMEIRO;PODE;BRASILEIRA NATA;41;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
CLÊNEA RESENDE;CIDADANIA;BRASILEIRA NATA;48;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;S
CLEO SILVA;PSC;BRASILEIRA NATA;61;FEMININO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;N
CLÉRIA SALOMÉ;AVANTE;BRASILEIRA NATA;49;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;S
CLOVES BH;PP;BRASILEIRA NATA;49;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;S
COLARES;REDE;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
CONCEIÇÃO DA SILVA;PC do B;BRASILEIRA NATA;50;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
CORACI OLIVEIRA;SOLIDARIEDADE;BRASILEIRA NATA;51;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
CORONEL PICCININI;PSD;BRASILEIRA NATA;75;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
CORONEL SIMIL;PRTB;BRASILEIRA NATA;57;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
CORRADI;PODE;BRASILEIRA NATA;43;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
COSTA VAL;PSD;BRASILEIRA NATA;60;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
CREUZONA;PROS;BRASILEIRA NATA;61;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;S
CRIS CABANA ;PMN;BRASILEIRA NATA;44;MASCULINO;ENSINO MÉDIO INCOMPLETO;DIVORCIADO(A);PRETA;S
CRIS DO BAR;PTB;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PARDA;S
CRIS KUMAIRA;NOVO;BRASILEIRA NATA;49;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
CRIS SANTOS BLOG DAS CRIS;SOLIDARIEDADE;BRASILEIRA NATA;41;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;S
CRISTIANA DO TAQUARIL;PSB;BRASILEIRA NATA;32;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;N
CRISTIANO BARCELLOS;PATRIOTA;BRASILEIRA NATA;39;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
CRISTIANO DA RADIO OURO MINAS;AVANTE;BRASILEIRA NATA;68;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CRISTIANO GARI;MDB;BRASILEIRA NATA;44;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
CRISTIANO REIS;DEM;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);SEM INFORMAÇÃO;S
CRISTIANO TOTÓ;PV;BRASILEIRA NATA;61;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
CRISTIANO VIGILANTE;PROS;BRASILEIRA NATA;42;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
CRISTINA JUNIA ;PDT;BRASILEIRA NATA;52;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;S
CRISTINA MATOS;PSB;BRASILEIRA NATA;49;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
CRISTOVÃO MOREIRA;PSC;BRASILEIRA NATA;61;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PARDA;N
DAI DIAS;PODE;BRASILEIRA NATA;31;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;S
DANI SAVASSI;SOLIDARIEDADE;BRASILEIRA NATA;39;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
DANIEL ALBERGARIA PROSSEGUIR;PMN;BRASILEIRA NATA;35;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
DANIEL AZEVEDO;PSDB;BRASILEIRA NATA;41;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;N
DANIEL DO SOM;PSD;BRASILEIRA NATA;62;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);SEM INFORMAÇÃO;S
DANIEL DÚ;AVANTE;BRASILEIRA NATA;36;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
DANIEL FERREIRA;PSDB;BRASILEIRA NATA;31;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
DANIEL OLIVEIRA;PV;BRASILEIRA NATA;35;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
DANIEL PICOLE CREMOSO;SOLIDARIEDADE;BRASILEIRA NATA;36;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
DANIEL ROCHA;PODE;BRASILEIRA NATA;36;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
DANIEL SIRIEMA;AVANTE;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
DANIELA REGINA;PSB;BRASILEIRA NATA;40;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;N
DANIELLE PONCE DE LEÓN;PTB;BRASILEIRA NATA;54;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DANY PERDIGÃO;AVANTE;BRASILEIRA NATA;38;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DÁRIO;PSOL;BRASILEIRA NATA;55;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DARIO SMITH;PL;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
DAVI CARRETOS;PTC;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PRETA;S
DAVI RODRIGUES;PC do B;BRASILEIRA NATA;59;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;N
DAVI TEODORO;DEM;BRASILEIRA NATA;55;MASCULINO;SUPERIOR COMPLETO;VIÚVO(A);SEM INFORMAÇÃO;S
DAVID CONTARINI;PSD;BRASILEIRA NATA;40;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
DAVID ENIS;DC;BRASILEIRA NATA;39;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
DAYANE DE ALMEIDA;PMN;BRASILEIRA NATA;26;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
DÉBORA MÁXIMO;NOVO;BRASILEIRA NATA;39;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DEBORA PATRICIA;PRTB;BRASILEIRA NATA;28;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;N
DECA DO ESCOLAR;DEM;BRASILEIRA NATA;59;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
DECINHO BOLSONARO DO BARREIRO;PP;BRASILEIRA NATA;54;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;DIVORCIADO(A);BRANCA;S
DÉIA;CIDADANIA;BRASILEIRA NATA;62;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PRETA;N
DELEGADA ELAINE MATOZINHOS;PTB;BRASILEIRA NATA;68;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DELFINA MAGALHÃES;DC;BRASILEIRA NATA;72;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DELSINHO SILVA;DEM;BRASILEIRA NATA;57;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);SEM INFORMAÇÃO;S
DEMETRIUS INACIO;PMN;BRASILEIRA NATA;42;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
DENILSON BOKA;PTB;BRASILEIRA NATA;49;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;S
DENIS RODRIGUES;PC do B;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
DENISE TORQUATO;DEM;BRASILEIRA NATA;37;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
DENNER RIBEIRO;PC do B;BRASILEIRA NATA;55;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;N
DEPUTADO;DC;BRASILEIRA NATA;57;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;S
DIAS PIO;PSL;BRASILEIRA NATA;59;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;N
DICK FARNEY;PMN;BRASILEIRA NATA;51;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;S
DIDO ARAUJO;PSL;BRASILEIRA NATA;49;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;N
DIEGO MIRANDA;PCB;BRASILEIRA NATA;33;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DIEGO SILVA;PP;BRASILEIRA NATA;30;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DIGUIM OLIVEIRA;PATRIOTA;BRASILEIRA NATA;30;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;S
DIMAS DA AMBULÂNCIA;PSC;BRASILEIRA NATA;65;MASCULINO;LÊ E ESCREVE;DIVORCIADO(A);PARDA;S
DINHO DO BAR;PDT;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PARDA;S
DININHO CABELEIREIRO;PROS;BRASILEIRA NATA;57;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;S
DIRCEU BRANDÃO;REPUBLICANOS;BRASILEIRA NATA;46;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
DJ LILITO;AVANTE;BRASILEIRA NATA;37;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;N
DJ VOVÔ;PTC;BRASILEIRA NATA;50;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);BRANCA;S
DONA CONCEIÇÃO;MDB;BRASILEIRA NATA;74;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;S
DONA LURDES;PTC;BRASILEIRA NATA;81;FEMININO;LÊ E ESCREVE;VIÚVO(A);PARDA;S
DONATO LIMA;MDB;BRASILEIRA NATA;59;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;S
DORA;PP;BRASILEIRA NATA;66;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;S
DORA CILIRA;PSB;BRASILEIRA NATA;51;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;N
DORALICE CRUZ;PTC;BRASILEIRA NATA;60;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DORIVAL DO EMPREGO;PSDB;BRASILEIRA NATA;51;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
DOUGLAS JONES;PV;BRASILEIRA NATA;20;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
DOUGLAS SILVA;CIDADANIA;BRASILEIRA NATA;36;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
DOUGLINHAS DO SALÃO;PSDB;BRASILEIRA NATA;30;MASCULINO;LÊ E ESCREVE;CASADO(A);PRETA;S
DOUTOR IGOR DA AADORA;DC;BRASILEIRA NATA;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DOUTORA CIDINHA;MDB;BRASILEIRA NATA;56;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DOUTORA SANDRA HILLS;PL;BRASILEIRA NATA;53;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR ALEX;PV;BRASILEIRA NATA;47;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR BRUNO PEDRALVA;PT;BRASILEIRA NATA;36;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR CRIS PINHEIRO;NOVO;BRASILEIRA NATA;49;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
DR DESCIO CORDEIRO;AVANTE;BRASILEIRA NATA;62;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DR EDUARDO JANOT;PP;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR EROS;PSL;BRASILEIRA NATA;53;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
DR FERNANDO DELFINO;PSL;BRASILEIRA NATA;55;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
DR GILBERTO SILVA;PODE;BRASILEIRA NATA;41;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
DR JURACY PINHO;DC;BRASILEIRA NATA;54;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR MARCELO TAVARES;PROS;BRASILEIRA NATA;53;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;S
DR MARCO BOMFIM CIDADÃO BH;REDE;BRASILEIRA NATA;55;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DR MURILO;AVANTE;BRASILEIRA NATA;41;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
DR NILTON;PSD;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR VICENTE AMORIM;PSL;BRASILEIRA NATA;79;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
DR. ANA PAULA TUPI B/MIRANTE;PDT;BRASILEIRA NATA;41;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
DR. CÉLIO ANTUNES;CIDADANIA;BRASILEIRA NATA;42;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR. CELIO FRÓIS;CIDADANIA;BRASILEIRA NATA;54;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DR. EDSON MOREIRA;CIDADANIA;BRASILEIRA NATA;61;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;S
DR. FARAH;PSB;BRASILEIRA NATA;61;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DR. GUSTAVO MOURÃO;REDE;BRASILEIRA NATA;43;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
DR. JORGE PARREIRA;PDT;BRASILEIRA NATA;69;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
DR. OLAVO;PMN;BRASILEIRA NATA;60;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
DRA ANA CARMEN;NOVO;BRASILEIRA NATA;51;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
DRA FERNANDA FIUZA;PSL;BRASILEIRA NATA;41;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DRA MICHELLY SIQUEIRA;PP;BRASILEIRA NATA;36;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
DRA SANDRA;PC do B;BRASILEIRA NATA;65;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
DRI;PSC;BRASILEIRA NATA;45;FEMININO;SUPERIOR INCOMPLETO;SEPARADO(A) JUDICIALMENTE;PARDA;S
DÚ PENTE;PSOL;BRASILEIRA NATA;32;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
DÚ SOARES;PROS;BRASILEIRA NATA;52;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
DUCARMO DA COSTURA;DEM;BRASILEIRA NATA;69;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
DUDA ABREU;PSDB;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
DUDA CRIS;PATRIOTA;BRASILEIRA NATA;47;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
DUDU DO SALÃO;AVANTE;BRASILEIRA NATA;47;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
DUDU DOS ABRIGOS;PV;BRASILEIRA NATA;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
DULCE TEOFILO;PATRIOTA;BRASILEIRA NATA;63;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
ED MARTE;PSOL;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
EDERSON MELÃO;PC do B;BRASILEIRA NATA;36;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);BRANCA;N
EDGAR;PSDB;BRASILEIRA NATA;65;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
EDÍDACIO MEDEIRO;PC do B;BRASILEIRA NATA;66;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;S
EDILSON MARTINS;PP;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
EDIMAR XAVIER;PSL;BRASILEIRA NATA;36;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
EDIMILSON ITA;PC do B;BRASILEIRA NATA;59;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;N
EDINA BARBOSA;PSD;BRASILEIRA NATA;56;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
EDINHO RIBEIRO;PP;BRASILEIRA NATA;51;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
EDISANTOS DO V3;PSD;BRASILEIRA NATA;58;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PARDA;S
EDIVALDO BARBOSA - EDITUDO;CIDADANIA;BRASILEIRA NATA;54;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
EDIVALDO TATÁ;PP;BRASILEIRA NATA;44;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
EDMAR BRANCO;PSB;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
EDMAR JUNIOR;DEM;BRASILEIRA NATA;42;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SEM INFORMAÇÃO;S
